rider,team_name
Max Fricke,Belle Vue Aces
Dan Bewley,Belle Vue Aces
Kenneth Bjerre,Belle Vue Aces
Steve Worrall,Belle Vue Aces
Ricky Wells,Belle Vue Aces
Dimitri Berge,Belle Vue Aces
Jaimon Lidsey,Belle Vue Aces
Chris Harris,Ipswich Witches
Richard Lawson,Ipswich Witches
Kristian Pieszczek,Ipswich Witches
Danny King,Ipswich Witches
David Bellego,Ipswich Witches
Cameron Heeps,Ipswich Witches
Jake Allen,Ipswich Witches
Robert Lambert,Kings Lynn Stars
Ty Proctor,Kings Lynn Stars
Erik Riss,Kings Lynn Stars
Thoms Jorgensen,Kings Lynn Stars
Lewis Kerr,Kings Lynn Stars
Michael Palm Toft,Kings Lynn Stars
Kasper Andersen,Kings Lynn Stars
Rohan Tungate,Peterborough Panthers
Hans Andersen,Peterborough Panthers
Bradley Wilson-Dean ,Peterborough Panthers
Charles Wright ,Peterborough Panthers
Lasse Bjerre ,Peterborough Panthers
Ben Barker,Peterborough Panthers
Aaron Summers ,Peterborough Panthers
Jack Holder,Poole Pirates
Brady Kurtz,Poole Pirates
Josh Grajczonek ,Poole Pirates
Nikolai Klindt,Poole Pirates
Richie Worrall ,Poole Pirates
Nico Covatti ,Poole Pirates
Nikolaj Busk Jakobsen,Poole Pirates
Jason Doyle,Swindon Robins
Troy Batchelor,Swindon Robins
Tobiasz Musielak,Swindon Robins
Adam Ellis,Swindon Robins
Dawid Lampart,Swindon Robins
Zach Wajtknecht,Swindon Robins
James Shanes,Swindon Robins
Sam Masters,Wolverhampton Wolves
Rory Schlein ,Wolverhampton Wolves
Nick Morris,Wolverhampton Wolves
Scott Nicholls ,Wolverhampton Wolves
Kyle Howarth ,Wolverhampton Wolves
Luke Becker,Wolverhampton Wolves
Ashley Morris ,Wolverhampton Wolves
